EarlyAccess;ReviewText;Review;ReviewLength;PlayHours;DatePosted
;gud gam;Recommended;6;8.2;
;if you wanted to slap your head on a wall and enjoy it then this game is for you hop into a 1v1 until u get a nix!;Recommended;87;29.7;
;this game is so ass;Not Recommended;15;145.8;
;great fighting game;Recommended;17;527.1;
;i hate this game;Recommended;13;13.5;
;This game is literally so ass. The only satisfaction you get is beating strong people. But you don't face anyone with skill. It's either spammers or runners. And i don't understand how it does it but i believe it throws in a couple bots with skins and good borders to make it seem like they're real people. So after a lost streak it'll take 'pity' on you with an easy win. Except it's so easy it doesn't even motivate you to keep playing. It just makes you feel bad because you've lost to a queen nai who thinks their good despite the fact there heavy button is probably eroding from overuse.Not only this but the game also chooses favourites. Speaking from someone who has been a valhallan for multiple seasons i've seen multiple people use the exact same tech's that i use but the only difference is when they use it. It actually works. but when i use it it does that dumb thing where it shows it hit and then they don't actually get hit. It's like trying to fight a ghost that copies you.It can attack you just fine but cuz it's a ghost your attacks aren't connecting cuz every ♥♥♥♥♥♥♥ player who is about to get combo'd turns ♥♥♥♥♥♥♥♥♥♥♥♥♥ intangible;Not Recommended;942;236.4;
;this game is very fin but sometimes annoying;Recommended;37;99.4;
;I know what you're gonna say, it is in fact different from Super Smash Bros.;Recommended;62;38.7;
;fortnie;Recommended;7;52.5;
;";l;";Recommended;3;4.6;
;game for asian kids;Recommended;16;524.7;
;♥♥♥♥;Not Recommended;4;269.1;
;"Brawlhalla has good mechanics and all, but it just seems like a lot is missing from the game. Fighting games are not really my thing anyway, although Brawlhalla has me interested at times, but not enough that I invest hundreds of hours in-game grindimg. They'll definitely have to step up on events and new maps. I mean, I don't think anybody asked for a ""Borderlands"" crossover. Totally lame. Instead they should try something that actually draws the regular person in. A ""Deadpool & Wolverine"" crossover idea isn't far-fetched at all, and it would be way better for the game in my opinion.The maps are just kinda bland. Some of them actually aren't too bad, but there's nothing besides different themes to spice it up a bit. Combat would be so much more immersive if you were also fighting against the platforms, and not just your opponents.Game will run smoothly on almost any machine, and at a high FPS too, which is brilliant, but good performance can't save Brawlhalla from what it is: a flawed game all around. It is interesting, mind you, but eventually that interest fades...Don't particularly recommend, but keep an open mind and don't take my opinion into account too much. Try the game for yourself if you'd like 👍";Not Recommended;1015;23.6;
;delete this ♥♥♥♥♥♥♥♥ ass game ♥♥♥♥;Not Recommended;29;11.7;
;yes;Recommended;3;27.7;
;Dont play this game...;Recommended;19;6.5;
;best game:);Recommended;10;137.4;
;noice;Recommended;5;266.8;
;good ♥♥♥♥;Recommended;8;16.3;
;Game is mentally tiring and the servers need some work so as the game UI, few bugs which i already reported yet no fixes, overall.. is not bad, with friends is great;Recommended;134;2628.0;
;ss;Recommended;2;13.9;
;(◍•ᴗ•◍)❤;Recommended;8;2.8;
;dont waste ur time playing this ♥♥♥♥ for the love of god;Not Recommended;45;289.8;
;this game has given me depression and back pain10/10 would recommendmy friend was playing this game and i woke up from my coma to turn his pc off;Not Recommended;118;1137.8;
;baaaaaaaaaaaaaaaaaaaaaaaaaaad f4k game;Not Recommended;36;323.7;
;swag;Recommended;4;247.9;
;If you play loki you are hella gay his sigs are broken and he actually smells like hot doo grbage;Recommended;78;245.8;
;yes;Recommended;3;3.9;
;efe;Not Recommended;3;81.2;
;this game helped me beat my bully up in real life with sickle and because im a scythe main i did it with a 12 hit combo and of course zero to death so yeah i recommend;Recommended;131;943.8;
;good;Recommended;4;18.7;
;soo stressed;Recommended;11;14.0;
;good game man.;Recommended;12;11.4;
;Some like it. I do not lol;Not Recommended;20;0.8;
;FIRE ASS GAME;Recommended;11;56.1;
;help;Not Recommended;4;405.4;
;brawl;Recommended;5;73.7;
;horrible game;Not Recommended;12;592.3;
;not for me but also just not that fun as a platform fighter.;Not Recommended;48;0.6;
;best game ever;Recommended;12;13.0;
;I like the gameplay. and the variety;Recommended;30;785.9;
;Tis fun;Recommended;6;11.6;
;the best online multiplayer game by ubisoft;Recommended;37;830.1;
